gene,biotype
ENSG00000281571,TEC
ENSG00000223612,processed_pseudogene
ENSG00000256374,protein_coding
ENSG00000271291,processed_pseudogene
ENSG00000276216,lncRNA
ENSG00000207501,snRNA
ENSG00000236140,lncRNA
ENSG00000162825,protein_coding
ENSG00000234367,processed_pseudogene
ENSG00000270384,snRNA
ENSG00000286620,TEC
ENSG00000270722,snRNA
ENSG00000287374,lncRNA
ENSG00000278182,unprocessed_pseudogene
ENSG00000275064,unprocessed_pseudogene
ENSG00000272150,transcribed_unprocessed_pseudogene
ENSG00000117262,protein_coding
ENSG00000174827,protein_coding
ENSG00000117281,protein_coding
ENSG00000265491,protein_coding
ENSG00000186141,protein_coding
ENSG00000186364,protein_coding
ENSG00000131788,protein_coding
ENSG00000278549,miRNA
ENSG00000198483,protein_coding
ENSG00000143127,protein_coding
ENSG00000244619,lncRNA
ENSG00000131779,protein_coding
ENSG00000265241,protein_coding
ENSG00000211451,transcribed_unitary_pseudogene
ENSG00000234222,lncRNA
ENSG00000280778,protein_coding
ENSG00000271601,protein_coding
ENSG00000272031,protein_coding
ENSG00000278431,lncRNA
ENSG00000121851,protein_coding
ENSG00000265972,protein_coding
ENSG00000168509,protein_coding
ENSG00000287190,lncRNA
ENSG00000201558,snRNA
ENSG00000233396,lncRNA
ENSG00000271425,protein_coding
ENSG00000264343,protein_coding
ENSG00000276509,lncRNA
ENSG00000201789,snRNA
ENSG00000271121,processed_pseudogene
ENSG00000277406,transcribed_unprocessed_pseudogene
ENSG00000270339,protein_coding
ENSG00000273768,snRNA
ENSG00000287978,lncRNA
ENSG00000274428,snRNA
ENSG00000277655,unprocessed_pseudogene
ENSG00000276975,transcribed_unprocessed_pseudogene
ENSG00000274408,rRNA
ENSG00000274450,snRNA
ENSG00000268043,protein_coding
ENSG00000244371,processed_pseudogene
ENSG00000234225,lncRNA
ENSG00000227242,unprocessed_pseudogene
ENSG00000225603,processed_pseudogene
ENSG00000201142,snRNA
ENSG00000230832,processed_pseudogene
ENSG00000286172,snRNA
ENSG00000283342,unprocessed_pseudogene
ENSG00000131791,protein_coding
ENSG00000180867,transcribed_processed_pseudogene
ENSG00000237188,lncRNA
ENSG00000131781,protein_coding
ENSG00000226015,processed_pseudogene
ENSG00000236806,processed_pseudogene
ENSG00000131778,protein_coding
ENSG00000278811,lncRNA
ENSG00000213226,processed_pseudogene
ENSG00000226653,unitary_pseudogene
ENSG00000207209,misc_RNA
ENSG00000272443,unprocessed_pseudogene
ENSG00000272480,unprocessed_pseudogene
ENSG00000116128,protein_coding
ENSG00000288626,protein_coding
ENSG00000162836,protein_coding
ENSG00000277762,misc_RNA
ENSG00000227139,lncRNA
ENSG00000265107,protein_coding
ENSG00000274415,lncRNA
ENSG00000234190,lncRNA
ENSG00000223728,processed_pseudogene
ENSG00000121634,protein_coding
ENSG00000188092,protein_coding
ENSG00000215859,transcribed_unprocessed_pseudogene
ENSG00000273059,lncRNA
ENSG00000274372,lncRNA
ENSG00000206791,snRNA
ENSG00000206585,snRNA
ENSG00000229828,unprocessed_pseudogene
ENSG00000263956,protein_coding
ENSG00000225080,processed_pseudogene
ENSG00000198658,unprocessed_pseudogene
ENSG00000232265,lncRNA
ENSG00000227733,lncRNA
ENSG00000238765,rRNA_pseudogene
ENSG00000224335,unprocessed_pseudogene
ENSG00000227700,processed_pseudogene
ENSG00000199879,snRNA
ENSG00000234283,lncRNA
ENSG00000228626,unprocessed_pseudogene
ENSG00000274020,lncRNA
ENSG00000238107,lncRNA
ENSG00000224481,lncRNA
ENSG00000235988,processed_pseudogene
ENSG00000252744,misc_RNA
ENSG00000283676,miRNA
ENSG00000202408,snRNA
ENSG00000272824,lncRNA
ENSG00000207340,snRNA
ENSG00000252135,snRNA
ENSG00000278596,miRNA
ENSG00000238825,snRNA
ENSG00000231551,transcribed_unprocessed_pseudogene
ENSG00000201183,snRNA
ENSG00000225871,processed_pseudogene
ENSG00000285062,transcribed_unprocessed_pseudogene
ENSG00000280649,TEC
ENSG00000236334,protein_coding
ENSG00000274210,snRNA
ENSG00000270629,protein_coding
ENSG00000286019,protein_coding
ENSG00000252515,snRNA
ENSG00000177144,protein_coding
ENSG00000275140,unprocessed_pseudogene
ENSG00000271546,processed_pseudogene
ENSG00000178104,protein_coding
ENSG00000252656,misc_RNA
ENSG00000222788,snRNA
ENSG00000254913,lncRNA
ENSG00000255148,lncRNA
ENSG00000254539,lncRNA
ENSG00000269713,protein_coding
ENSG00000274019,unprocessed_pseudogene
ENSG00000201699,snRNA
ENSG00000274265,lncRNA
ENSG00000215861,transcribed_unprocessed_pseudogene
ENSG00000272755,lncRNA
ENSG00000273591,misc_RNA
ENSG00000274423,unprocessed_pseudogene
ENSG00000286219,protein_coding
ENSG00000286185,protein_coding
ENSG00000271383,protein_coding
ENSG00000263464,protein_coding
ENSG00000277147,transcribed_unprocessed_pseudogene
ENSG00000284964,transcribed_unprocessed_pseudogene
ENSG00000275557,lncRNA
ENSG00000206828,snRNA
ENSG00000284842,transcribed_processed_pseudogene
ENSG00000234232,transcribed_unprocessed_pseudogene
ENSG00000275229,snRNA
ENSG00000226500,processed_pseudogene
ENSG00000150337,protein_coding
ENSG00000203814,protein_coding
ENSG00000233030,lncRNA
ENSG00000183598,protein_coding
ENSG00000270882,protein_coding
ENSG00000203811,protein_coding
ENSG00000203812,protein_coding
ENSG00000220323,transcribed_unprocessed_pseudogene
ENSG00000261716,transcribed_unprocessed_pseudogene
ENSG00000272196,protein_coding
ENSG00000203852,protein_coding
ENSG00000270276,protein_coding
ENSG00000264207,lncRNA
ENSG00000184678,protein_coding
ENSG00000184260,protein_coding
ENSG00000184270,protein_coding
ENSG00000178096,protein_coding
ENSG00000159164,protein_coding
ENSG00000143368,protein_coding
ENSG00000014914,protein_coding
ENSG00000264522,protein_coding
ENSG00000285184,lncRNA
ENSG00000223945,processed_pseudogene
ENSG00000136631,protein_coding
ENSG00000023902,protein_coding
ENSG00000285554,lncRNA
ENSG00000266187,misc_RNA
ENSG00000143401,protein_coding
ENSG00000222222,snRNA
ENSG00000276110,lncRNA
ENSG00000118298,protein_coding
ENSG00000117362,protein_coding
ENSG00000118292,protein_coding
ENSG00000159208,protein_coding
ENSG00000266472,protein_coding
ENSG00000117360,protein_coding
ENSG00000163125,protein_coding
ENSG00000143374,protein_coding
ENSG00000283933,miRNA
ENSG00000143369,protein_coding
ENSG00000228126,lncRNA
ENSG00000237781,lncRNA
ENSG00000143382,protein_coding
ENSG00000264553,miRNA
ENSG00000203804,lncRNA
ENSG00000277452,misc_RNA
ENSG00000274963,misc_RNA
ENSG00000143384,protein_coding
ENSG00000253047,snoRNA
ENSG00000143420,protein_coding
ENSG00000276103,snRNA
ENSG00000143457,protein_coding
ENSG00000143452,protein_coding
ENSG00000206931,snRNA
ENSG00000163131,protein_coding
ENSG00000236713,processed_pseudogene
ENSG00000143387,protein_coding
ENSG00000224690,processed_pseudogene
ENSG00000143437,protein_coding
ENSG00000200175,snRNA
ENSG00000224800,processed_pseudogene
ENSG00000283324,protein_coding
ENSG00000229357,processed_pseudogene
ENSG00000143379,protein_coding
ENSG00000143418,protein_coding
ENSG00000259357,lncRNA
ENSG00000231073,lncRNA
ENSG00000143412,protein_coding
ENSG00000143409,protein_coding
ENSG00000143363,protein_coding
ENSG00000200759,snRNA
ENSG00000163141,protein_coding
ENSG00000143443,protein_coding
ENSG00000197622,protein_coding
ENSG00000213190,protein_coding
ENSG00000143458,protein_coding
ENSG00000233717,processed_pseudogene
ENSG00000261168,lncRNA
ENSG00000143434,protein_coding
ENSG00000163154,protein_coding
ENSG00000163156,protein_coding
ENSG00000163155,protein_coding
ENSG00000163157,protein_coding
ENSG00000163159,protein_coding
ENSG00000143398,protein_coding
ENSG00000159352,protein_coding
ENSG00000232671,lncRNA
ENSG00000143373,protein_coding
ENSG00000143393,protein_coding
ENSG00000265753,misc_RNA
ENSG00000273481,lncRNA
ENSG00000143390,protein_coding
ENSG00000224645,lncRNA
ENSG00000237976,lncRNA
ENSG00000143416,protein_coding
ENSG00000159377,protein_coding
ENSG00000143442,protein_coding
ENSG00000238711,misc_RNA
ENSG00000143375,protein_coding
ENSG00000252840,snoRNA
ENSG00000143367,protein_coding
ENSG00000232536,lncRNA
ENSG00000207606,miRNA
ENSG00000223861,processed_pseudogene
ENSG00000143376,protein_coding
ENSG00000250734,lncRNA
ENSG00000206635,snRNA
ENSG00000159409,protein_coding
ENSG00000227045,lncRNA
ENSG00000178796,protein_coding
ENSG00000206980,snRNA
ENSG00000269621,lncRNA
ENSG00000236940,processed_pseudogene
ENSG00000143436,protein_coding
ENSG00000143450,protein_coding
ENSG00000249602,lncRNA
ENSG00000232937,lncRNA
ENSG00000268288,lncRNA
ENSG00000182134,protein_coding
ENSG00000203288,lncRNA
ENSG00000269489,lncRNA
ENSG00000213171,protein_coding
ENSG00000143365,protein_coding
ENSG00000225556,protein_coding
ENSG00000201134,misc_RNA
ENSG00000234614,lncRNA
ENSG00000196407,protein_coding
ENSG00000159445,protein_coding
ENSG00000285651,lncRNA
ENSG00000286581,lncRNA
ENSG00000223810,processed_pseudogene
ENSG00000197747,protein_coding
ENSG00000229021,lncRNA
ENSG00000240667,unprocessed_pseudogene
ENSG00000163191,protein_coding
ENSG00000232678,processed_pseudogene
ENSG00000285818,unprocessed_pseudogene
ENSG00000182898,protein_coding
ENSG00000159450,protein_coding
ENSG00000226716,lncRNA
ENSG00000233792,transcribed_processed_pseudogene
ENSG00000215853,protein_coding
ENSG00000237975,lncRNA
ENSG00000236427,lncRNA
ENSG00000197915,protein_coding
ENSG00000143631,protein_coding
ENSG00000143520,protein_coding
ENSG00000183586,processed_pseudogene
ENSG00000143536,protein_coding
ENSG00000186207,protein_coding
ENSG00000169509,protein_coding
ENSG00000185966,protein_coding
ENSG00000163202,protein_coding
ENSG00000244057,protein_coding
ENSG00000187238,protein_coding
ENSG00000185962,protein_coding
ENSG00000226947,unprocessed_pseudogene
ENSG00000285753,unprocessed_pseudogene
ENSG00000187223,protein_coding
ENSG00000187180,protein_coding
ENSG00000159455,protein_coding
ENSG00000187173,protein_coding
ENSG00000187170,protein_coding
ENSG00000198854,protein_coding
ENSG00000229713,unprocessed_pseudogene
ENSG00000233819,unprocessed_pseudogene
ENSG00000203786,protein_coding
ENSG00000240386,protein_coding
ENSG00000186226,protein_coding
ENSG00000172155,protein_coding
ENSG00000197084,protein_coding
ENSG00000196734,protein_coding
ENSG00000186844,protein_coding
ENSG00000235942,protein_coding
ENSG00000285946,protein_coding
ENSG00000163206,protein_coding
ENSG00000163207,protein_coding
ENSG00000224308,lncRNA
ENSG00000283227,protein_coding
ENSG00000184148,protein_coding
ENSG00000169474,protein_coding
ENSG00000163209,protein_coding
ENSG00000234262,unprocessed_pseudogene
ENSG00000252920,snoRNA
ENSG00000169469,protein_coding
ENSG00000163216,protein_coding
ENSG00000241794,protein_coding
ENSG00000196805,protein_coding
ENSG00000203785,protein_coding
ENSG00000244094,protein_coding
ENSG00000229035,unprocessed_pseudogene
ENSG00000159516,protein_coding
ENSG00000229699,lncRNA
ENSG00000203784,protein_coding
ENSG00000203783,protein_coding
ENSG00000230779,processed_pseudogene
ENSG00000203782,protein_coding
ENSG00000159527,protein_coding
ENSG00000163218,protein_coding
ENSG00000207321,snRNA
ENSG00000163220,protein_coding
ENSG00000163221,protein_coding
ENSG00000237008,processed_pseudogene
ENSG00000143546,protein_coding
ENSG00000224784,processed_pseudogene
ENSG00000184330,protein_coding
ENSG00000203781,unprocessed_pseudogene
ENSG00000197364,protein_coding
ENSG00000143556,protein_coding
ENSG00000263841,misc_RNA
ENSG00000238279,lncRNA
ENSG00000197956,protein_coding
ENSG00000196420,protein_coding
ENSG00000196154,protein_coding
ENSG00000188015,protein_coding
ENSG00000196754,protein_coding
ENSG00000285867,lncRNA
ENSG00000188643,protein_coding
ENSG00000189334,protein_coding
ENSG00000189171,protein_coding
ENSG00000271853,lncRNA
ENSG00000160678,protein_coding
ENSG00000272030,lncRNA
ENSG00000160679,protein_coding
ENSG00000143553,protein_coding
ENSG00000143621,protein_coding
ENSG00000169418,protein_coding
ENSG00000274940,miRNA
ENSG00000242565,misc_RNA
ENSG00000235015,processed_pseudogene
ENSG00000199565,misc_RNA
ENSG00000143624,protein_coding
ENSG00000243613,lncRNA
ENSG00000233222,lncRNA
ENSG00000143554,protein_coding
ENSG00000207039,misc_RNA
ENSG00000143614,protein_coding
ENSG00000231827,transcribed_unprocessed_pseudogene
ENSG00000223599,processed_pseudogene
ENSG00000236327,processed_pseudogene
ENSG00000284738,lncRNA
ENSG00000198837,protein_coding
ENSG00000160741,protein_coding
ENSG00000143570,protein_coding
ENSG00000285779,protein_coding
ENSG00000276584,miRNA
ENSG00000282386,lncRNA
ENSG00000273026,lncRNA
ENSG00000143578,protein_coding
ENSG00000143543,protein_coding
ENSG00000285641,protein_coding
ENSG00000272654,lncRNA
ENSG00000143545,protein_coding
ENSG00000177954,protein_coding
ENSG00000143552,protein_coding
ENSG00000231416,processed_pseudogene
ENSG00000200220,snRNA
ENSG00000231837,processed_pseudogene
ENSG00000263987,miRNA
ENSG00000143549,protein_coding
ENSG00000264384,misc_RNA
ENSG00000215938,miRNA
ENSG00000163263,protein_coding
ENSG00000143612,protein_coding
ENSG00000143569,protein_coding
ENSG00000201129,snoRNA
ENSG00000143575,protein_coding
ENSG00000252682,snoRNA
ENSG00000212292,snRNA
ENSG00000222457,snRNA
ENSG00000278694,unprocessed_pseudogene
ENSG00000143595,protein_coding
ENSG00000143515,protein_coding
ENSG00000238365,snRNA
ENSG00000237920,unprocessed_pseudogene
ENSG00000226855,processed_pseudogene
ENSG00000228013,lncRNA
ENSG00000160712,protein_coding
ENSG00000228264,processed_pseudogene
ENSG00000169291,protein_coding
ENSG00000273110,lncRNA
ENSG00000163239,protein_coding
ENSG00000160714,protein_coding
ENSG00000229780,lncRNA
ENSG00000286391,lncRNA
ENSG00000160716,protein_coding
ENSG00000233875,lncRNA
ENSG00000160710,protein_coding
ENSG00000287064,lncRNA
ENSG00000143603,protein_coding
ENSG00000163344,protein_coding
ENSG00000270361,lncRNA
ENSG00000163346,protein_coding
ENSG00000268154,misc_RNA
ENSG00000163348,protein_coding
ENSG00000271380,lncRNA
ENSG00000160691,protein_coding
ENSG00000173207,protein_coding
ENSG00000264349,miRNA
ENSG00000160688,protein_coding
ENSG00000163352,protein_coding
ENSG00000160685,protein_coding
ENSG00000163354,protein_coding
ENSG00000163357,protein_coding
ENSG00000232093,lncRNA
ENSG00000143537,protein_coding
ENSG00000243364,protein_coding
ENSG00000251246,protein_coding
ENSG00000143590,protein_coding
ENSG00000202027,misc_RNA
ENSG00000169242,protein_coding
ENSG00000169241,protein_coding
ENSG00000179085,protein_coding
ENSG00000223452,processed_pseudogene
ENSG00000163463,protein_coding
ENSG00000273088,protein_coding
ENSG00000163462,protein_coding
ENSG00000185499,protein_coding
ENSG00000231064,lncRNA
ENSG00000284586,miRNA
ENSG00000169231,protein_coding
ENSG00000173171,protein_coding
ENSG00000236263,lncRNA
ENSG00000160766,transcribed_unprocessed_pseudogene
ENSG00000236675,unprocessed_pseudogene
ENSG00000177628,protein_coding
ENSG00000160767,protein_coding
ENSG00000116521,protein_coding
ENSG00000176444,protein_coding
ENSG00000143630,protein_coding
ENSG00000143627,protein_coding
ENSG00000160752,protein_coding
ENSG00000225855,lncRNA
ENSG00000160753,protein_coding
ENSG00000116539,protein_coding
ENSG00000283701,miRNA
ENSG00000207134,snRNA
ENSG00000227773,lncRNA
ENSG00000207144,snRNA
ENSG00000237872,processed_pseudogene
ENSG00000235919,lncRNA
ENSG00000271267,processed_pseudogene
ENSG00000225082,unprocessed_pseudogene
ENSG00000223503,processed_pseudogene
ENSG00000232519,lncRNA
ENSG00000125459,protein_coding
ENSG00000246203,unprocessed_pseudogene
ENSG00000287839,lncRNA
ENSG00000163374,protein_coding
ENSG00000132676,protein_coding
ENSG00000227673,lncRNA
ENSG00000203761,unprocessed_pseudogene
ENSG00000116580,protein_coding
ENSG00000234937,processed_pseudogene
ENSG00000132718,protein_coding
ENSG00000283442,snRNA
ENSG00000143622,protein_coding
ENSG00000132680,protein_coding
ENSG00000207475,snoRNA
ENSG00000280466,scaRNA
ENSG00000281394,scaRNA
ENSG00000173080,protein_coding
ENSG00000116584,protein_coding
ENSG00000277817,miRNA
ENSG00000273002,lncRNA
ENSG00000224276,lncRNA
ENSG00000285677,lncRNA
ENSG00000163479,protein_coding
ENSG00000160803,protein_coding
ENSG00000116586,protein_coding
ENSG00000132698,protein_coding
ENSG00000254726,protein_coding
ENSG00000160789,protein_coding
ENSG00000196189,protein_coding
ENSG00000252236,snoRNA
ENSG00000160785,protein_coding
ENSG00000260238,protein_coding
ENSG00000160783,protein_coding
ENSG00000242252,protein_coding
ENSG00000160781,protein_coding
ENSG00000198952,protein_coding
ENSG00000163472,protein_coding
ENSG00000198715,protein_coding
ENSG00000189030,protein_coding
ENSG00000163468,protein_coding
ENSG00000163467,protein_coding
ENSG00000132677,protein_coding
ENSG00000237390,lncRNA
ENSG00000125462,protein_coding
ENSG00000207933,miRNA
ENSG00000116604,protein_coding
ENSG00000206651,misc_RNA
ENSG00000260460,lncRNA
ENSG00000183856,protein_coding
ENSG00000187862,protein_coding
ENSG00000163382,protein_coding
ENSG00000160818,protein_coding
ENSG00000272971,lncRNA
ENSG00000132702,protein_coding
ENSG00000272068,lncRNA
ENSG00000132692,protein_coding
ENSG00000272405,lncRNA
ENSG00000229953,lncRNA
ENSG00000132688,protein_coding
ENSG00000237588,lncRNA
ENSG00000285570,lncRNA
ENSG00000143320,protein_coding
ENSG00000223356,lncRNA
ENSG00000143319,protein_coding
ENSG00000143303,protein_coding
ENSG00000143314,protein_coding
ENSG00000143321,protein_coding
ENSG00000143294,protein_coding
ENSG00000287624,lncRNA
ENSG00000027869,protein_coding
ENSG00000198400,protein_coding
ENSG00000027644,protein_coding
ENSG00000187800,protein_coding
ENSG00000160838,protein_coding
ENSG00000132694,protein_coding
ENSG00000211581,miRNA
ENSG00000266160,misc_RNA
ENSG00000237842,processed_pseudogene
ENSG00000224520,processed_pseudogene
ENSG00000253831,protein_coding
ENSG00000117036,protein_coding
ENSG00000235700,processed_pseudogene
ENSG00000229961,transcribed_unprocessed_pseudogene
ENSG00000284592,unprocessed_pseudogene
ENSG00000228239,lncRNA
ENSG00000271736,lncRNA
ENSG00000286073,unprocessed_pseudogene
ENSG00000286151,unprocessed_pseudogene
ENSG00000286005,unprocessed_pseudogene
ENSG00000143297,protein_coding
ENSG00000163518,protein_coding
ENSG00000236731,unprocessed_pseudogene
ENSG00000233712,unprocessed_pseudogene
ENSG00000160856,protein_coding
ENSG00000227217,lncRNA
ENSG00000231700,processed_pseudogene
ENSG00000232366,processed_pseudogene
ENSG00000132704,protein_coding
ENSG00000163534,protein_coding
ENSG00000073754,protein_coding
ENSG00000227425,processed_pseudogene
ENSG00000236957,transcribed_unprocessed_pseudogene
ENSG00000183853,protein_coding
ENSG00000226520,lncRNA
ENSG00000288460,protein_coding
ENSG00000231666,lncRNA
ENSG00000227295,processed_pseudogene
ENSG00000158473,protein_coding
ENSG00000229914,processed_pseudogene
ENSG00000176320,lncRNA
ENSG00000158477,protein_coding
ENSG00000230942,processed_pseudogene
ENSG00000158481,protein_coding
ENSG00000158485,protein_coding
ENSG00000158488,protein_coding
ENSG00000186306,protein_coding
ENSG00000180708,protein_coding
ENSG00000203758,unprocessed_pseudogene
ENSG00000236257,processed_pseudogene
ENSG00000173285,protein_coding
ENSG00000198965,protein_coding
ENSG00000236656,lncRNA
ENSG00000198703,unprocessed_pseudogene
ENSG00000227445,unprocessed_pseudogene
ENSG00000231434,processed_pseudogene
ENSG00000197532,protein_coding
ENSG00000186440,protein_coding
ENSG00000279111,protein_coding
ENSG00000198967,protein_coding
ENSG00000163554,protein_coding
ENSG00000231237,unprocessed_pseudogene
ENSG00000196171,protein_coding
ENSG00000203757,protein_coding
ENSG00000180437,unprocessed_pseudogene
ENSG00000226949,unprocessed_pseudogene
ENSG00000197403,protein_coding
ENSG00000180433,protein_coding
ENSG00000188340,protein_coding
ENSG00000229724,unprocessed_pseudogene
ENSG00000180409,unprocessed_pseudogene
ENSG00000163563,protein_coding
ENSG00000229849,unprocessed_pseudogene
ENSG00000163564,protein_coding
ENSG00000163565,protein_coding
ENSG00000163568,protein_coding
ENSG00000233473,processed_pseudogene
ENSG00000162706,protein_coding
ENSG00000222552,rRNA_pseudogene
ENSG00000225670,lncRNA
ENSG00000213088,protein_coding
ENSG00000215846,processed_pseudogene
ENSG00000248642,unprocessed_pseudogene
ENSG00000179639,protein_coding
ENSG00000196266,polymorphic_pseudogene
ENSG00000228560,lncRNA
ENSG00000248442,unitary_pseudogene
ENSG00000251686,unprocessed_pseudogene
ENSG00000249197,unprocessed_pseudogene
ENSG00000249730,polymorphic_pseudogene
ENSG00000196184,protein_coding
ENSG00000224943,lncRNA
ENSG00000184155,protein_coding
ENSG00000231100,unprocessed_pseudogene
ENSG00000271890,unprocessed_pseudogene
ENSG00000132703,protein_coding
ENSG00000158731,unprocessed_pseudogene
ENSG00000276632,processed_pseudogene
ENSG00000223603,unprocessed_pseudogene
ENSG00000132693,protein_coding
ENSG00000235226,processed_pseudogene
ENSG00000158716,protein_coding
ENSG00000181036,protein_coding
ENSG00000158714,protein_coding
ENSG00000256029,protein_coding
ENSG00000188004,lncRNA
ENSG00000212161,snoRNA
ENSG00000243284,protein_coding
ENSG00000272668,lncRNA
ENSG00000213085,protein_coding
ENSG00000266458,miRNA
ENSG00000287040,lncRNA
ENSG00000279430,TEC
ENSG00000158710,protein_coding
ENSG00000085552,protein_coding
ENSG00000162723,protein_coding
ENSG00000224259,lncRNA
ENSG00000273933,unprocessed_pseudogene
ENSG00000177807,protein_coding
ENSG00000237409,processed_pseudogene
ENSG00000143315,protein_coding
ENSG00000225279,lncRNA
ENSG00000162728,protein_coding
ENSG00000162729,protein_coding
ENSG00000018625,protein_coding
ENSG00000132681,protein_coding
ENSG00000143318,protein_coding
ENSG00000227741,lncRNA
ENSG00000162734,protein_coding
ENSG00000132716,protein_coding
ENSG00000258465,protein_coding
ENSG00000228606,lncRNA
ENSG00000224261,processed_pseudogene
ENSG00000162735,protein_coding
ENSG00000122218,protein_coding
ENSG00000235082,processed_pseudogene
ENSG00000202078,misc_RNA
ENSG00000162736,protein_coding
ENSG00000171786,protein_coding
ENSG00000201608,snRNA
ENSG00000162738,protein_coding
ENSG00000162739,protein_coding
ENSG00000234425,lncRNA
ENSG00000066294,protein_coding
ENSG00000117090,protein_coding
ENSG00000235101,transcribed_processed_pseudogene
ENSG00000228863,lncRNA
ENSG00000117091,protein_coding
